"Key","Id","English(en)","German(de)"
"debug_note",835310632960,"This is a note.","Das ist eine Notiz."
"ui_debug_addnote",1823223937548288,"Add Note","Notiz hinzufügen"
"settings_language",1823341097041920,"Language","Sprache"
"guest_fortescue_firstname",2532875843190784,"Lord ","Lord "
"guest_fortescue_lastname",,"Fortescue","Fortescue"
"guest_fortescue_desc",2533086971871232,"35th in line to the throne","Fünfunddreißigster in der Thronfolge"
"guest_fortescue_rule10",1.19899282109071E+016,"At the same table as his heir.","Am selben Tisch wie sein Erbe."
,,,
"guest_molesworth_firstname",2533237362835456,"Gwyneth ","Gwyneth "
"guest_molesworth_lastname",,"Molesworth-Fortescue","Molesworth-Fortescue"
"guest_molesworth_desc",2533562253623296,"First wife of Lord Hesketh-Fortescue","Erste Ehefrau von Lord Hesketh-Fortescue"
"guest_molesworth_rule10",1.19899282402673E+016,"Not next to or opposite Fortescue.","Nicht neben oder gegenüber von Fortescue."
"guest_molesworth_rule20",,"At the same table as her son.","Am selben Tisch wie ihr Sohn"
"guest_ladyfortescue_firstname",2533750049390592,"Meredith","Meredith"
"guest_ladyfortescue_lastname",,"Hesketh-Fortescue","Hesketh-Fortescue"
"guest_ladyfortescue_desc",2533853149577216,"Second wife of Lord Hesketh-Fortescue","Zweite Ehefrau von Lord Hesketh-Fortescue"
"guest_ladyfortescue_rule10",1.19899282402673E+016,"Needs to sit next to her husband.","Sitzt IMMER neben ihrem Mann."
